dataset,n_elementos,algoritmo_adaptativo,t_adaptativo(ms),t_heap_fixo(ms),diferenca_pct
adversarial_counting,5000,counting,0.4085,0.0876,-366.3
adversarial_limiar,5000,counting,0.2167,1.2472,82.6
aleatorio_1,5000,counting,0.1804,1.2685,85.8
quase_ordenada_1,5000,counting,0.0997,1.0944,90.9
repetidos_1,5000,counting,0.0765,3.5681,97.9
reverso_1,5000,counting,0.1509,0.8288,81.8
adversarial_insertion,10000,merge,0.7956,1.9910,60.0
aleatorio_2,10000,counting,0.2110,3.4335,93.9
grande_1,50000,counting,3.7477,21.3420,82.4
