caso_adversarial,n_elementos,algoritmo_adaptativo,t_adaptativo(ms),t_insertion(ms),t_heap(ms),t_merge(ms),t_counting(ms),memoria_adaptativo(bytes)
counting,5000,counting,0.4085,0.6230,0.0876,0.4575,0.3106,219996
insertion,10000,merge,0.7956,28.3520,1.9910,1.0002,1.0363,40000
limiar,5000,counting,0.2167,35.6754,1.2472,1.0560,0.2873,220004
